time_min,replica,cpu_cores,hpa_threshold_cores,replica_count
7.75,7wjxh,0.04338,0.05000,7
7.75,nkrrr,0.04934,0.05000,7
7.75,tskjt,0.05486,0.05000,7
7.75,xsc9d,0.04825,0.05000,7
7.75,zjflw,0.04709,0.05000,7
8.00,787rb,0.04231,0.05000,7
8.00,79xf6,0.04941,0.05000,7
8.00,7wjxh,0.04830,0.05000,7
8.00,nkrrr,0.04966,0.05000,7
8.00,tskjt,0.05179,0.05000,7
8.00,xsc9d,0.04334,0.05000,7
8.00,zjflw,0.04611,0.05000,7
8.25,787rb,0.04695,0.05000,7
8.25,79xf6,0.04878,0.05000,7
8.25,7wjxh,0.04878,0.05000,7
8.25,nkrrr,0.04872,0.05000,7
8.25,tskjt,0.04501,0.05000,7
8.25,xsc9d,0.04207,0.05000,7
8.25,zjflw,0.04784,0.05000,7
8.50,787rb,0.03955,0.05000,7
8.50,79xf6,0.04616,0.05000,7
8.50,7wjxh,0.04002,0.05000,7
8.50,nkrrr,0.03635,0.05000,7
8.50,tskjt,0.03937,0.05000,7
8.50,xsc9d,0.03782,0.05000,7
8.50,zjflw,0.04125,0.05000,7
8.75,787rb,0.02532,0.05000,7
8.75,79xf6,0.02613,0.05000,7
8.75,7wjxh,0.02408,0.05000,7
8.75,nkrrr,0.02061,0.05000,7
8.75,tskjt,0.02178,0.05000,7
8.75,xsc9d,0.02223,0.05000,7
8.75,zjflw,0.02494,0.05000,7
9.00,787rb,0.00896,0.05000,7
9.00,79xf6,0.00831,0.05000,7
9.00,7wjxh,0.00749,0.05000,7
9.00,nkrrr,0.00632,0.05000,7
9.00,tskjt,0.00763,0.05000,7
9.00,xsc9d,0.00731,0.05000,7
9.00,zjflw,0.00837,0.05000,7
9.25,787rb,0.00297,0.05000,7
9.25,79xf6,0.00211,0.05000,7
9.25,7wjxh,0.00258,0.05000,7
9.25,nkrrr,0.00218,0.05000,7
9.25,tskjt,0.00281,0.05000,7
9.25,xsc9d,0.00226,0.05000,7
9.25,zjflw,0.00229,0.05000,7
9.50,787rb,0.00297,0.05000,7
9.50,79xf6,0.00211,0.05000,7
9.50,7wjxh,0.00258,0.05000,7
9.50,nkrrr,0.00218,0.05000,7
9.50,tskjt,0.00281,0.05000,7
9.50,xsc9d,0.00226,0.05000,7
9.50,zjflw,0.00229,0.05000,7
9.75,787rb,0.00318,0.05000,7
9.75,79xf6,0.00272,0.05000,7
9.75,7wjxh,0.00288,0.05000,7
9.75,nkrrr,0.00304,0.05000,7
9.75,tskjt,0.00327,0.05000,7
9.75,xsc9d,0.00269,0.05000,7
9.75,zjflw,0.00305,0.05000,7
10.00,787rb,0.00364,0.05000,7
10.00,79xf6,0.00259,0.05000,7
10.00,7wjxh,0.00266,0.05000,7
10.00,nkrrr,0.00266,0.05000,7
10.00,tskjt,0.00343,0.05000,7
10.00,xsc9d,0.00275,0.05000,7
10.00,zjflw,0.00293,0.05000,7
10.25,787rb,0.00327,0.05000,7
10.25,79xf6,0.00271,0.05000,7
10.25,7wjxh,0.00334,0.05000,7
10.25,nkrrr,0.00236,0.05000,7
10.25,tskjt,0.00363,0.05000,7
10.25,xsc9d,0.00240,0.05000,7
10.25,zjflw,0.00303,0.05000,7
10.50,787rb,0.00384,0.05000,7
10.50,79xf6,0.00277,0.05000,7
10.50,7wjxh,0.00271,0.05000,7
10.50,nkrrr,0.00285,0.05000,7
10.50,tskjt,0.00349,0.05000,7
10.50,xsc9d,0.00270,0.05000,7
10.50,zjflw,0.00267,0.05000,7
10.75,787rb,0.00363,0.05000,7
10.75,79xf6,0.00242,0.05000,7
10.75,7wjxh,0.00271,0.05000,7
10.75,nkrrr,0.00244,0.05000,7
10.75,tskjt,0.00345,0.05000,7
10.75,xsc9d,0.00290,0.05000,7
10.75,zjflw,0.00302,0.05000,7
11.00,787rb,0.00310,0.05000,7
11.00,79xf6,0.00307,0.05000,7
11.00,7wjxh,0.00271,0.05000,7
11.00,nkrrr,0.00270,0.05000,7
11.00,tskjt,0.00321,0.05000,7
11.00,xsc9d,0.00239,0.05000,7
11.00,zjflw,0.00299,0.05000,7
11.25,787rb,0.00381,0.05000,7
11.25,79xf6,0.00258,0.05000,7
11.25,7wjxh,0.00266,0.05000,7
11.25,nkrrr,0.00246,0.05000,7
11.25,tskjt,0.00337,0.05000,7
11.25,xsc9d,0.00240,0.05000,7
11.25,zjflw,0.00268,0.05000,7
11.50,787rb,0.00391,0.05000,7
11.50,79xf6,0.00274,0.05000,7
11.50,7wjxh,0.00349,0.05000,7
11.50,nkrrr,0.00269,0.05000,7
11.50,tskjt,0.00320,0.05000,7
11.50,xsc9d,0.00243,0.05000,7
11.50,zjflw,0.00232,0.05000,7
